startprofiel,startprofiel+extra,aangepast profiel,LF aangepast profiel ,regelpunt,kwartieren boven limiet,LF  startprofiel+extra,390 of 360A,regelpunt profiel 360/390A,,startprofiel2,startprofiel2+extra,aangepast profiel2,profiel2 360/390A,
222.9782609,334.4673913,334.4673913,0,0,0,0,390,334.4673913,0,28697.93995,43046.90993,40168.08251,38663.836,
222.5543478,333.8315217,333.8315217,0,0,0,0,390,333.8315217,0,,verloren energie met DLR,2878.827414,,
193.3043478,289.9565217,289.9565217,0,0,0,0,390,289.9565217,0,,verloren energie met 360/390,4383.073924,,
192.4565217,288.6847826,288.6847826,0,0,0,0,390,288.6847826,0,,delta ,1504.24651,,3.74%
193.3043478,289.9565217,289.9565217,0,0,0,0,390,289.9565217,0,,,,,
180.5869565,270.8804348,270.8804348,0,0,0,0,390,270.8804348,0,,,,,
190.3369565,285.5054348,285.5054348,0,0,0,0,390,285.5054348,0,,,,,
208.9891304,313.4836957,313.4836957,0,0,0,0,390,313.4836957,0,,,,,
230.6086957,345.9130435,345.9130435,0,0,0,0,390,345.9130435,0,,,,,
258.1630435,387.2445652,387.2445652,0,0,0,0,390,387.2445652,0,,,,,
247.9891304,371.9836957,371.9836957,0,0,0,0,390,371.9836957,0,,,,,
239.9347826,359.9021739,359.9021739,0,0,0,0,390,359.9021739,0,,,,,
198.3913043,297.5869565,297.5869565,0,0,0,0,390,297.5869565,0,,,,,
202.6304348,303.9456522,303.9456522,0,0,0,0,390,303.9456522,0,,,,,
244.5978261,366.8967391,366.8967391,0,0,0,0,390,366.8967391,0,,,,,
268.7608696,403.1413043,403.1413043,0,0,0,0,390,390,0,,,,,
257.3152174,385.9728261,385.9728261,0,0,0,0,390,385.9728261,0,,,,,
247.9891304,371.9836957,371.9836957,0,0,0,0,390,371.9836957,0,,,,,
323.8695652,485.8043478,485.8043478,0,0,0,0,390,390,0,,,,,
339.5543478,509.3315217,509.3315217,0,0,0,0,390,390,0,,,,,
339.1304348,508.6956522,508.6956522,0,0,0,0,390,390,0,,,,,
325.5652174,488.3478261,488.3478261,0,0,0,0,390,390,0,,,,,
336.5869565,504.8804348,504.8804348,0,0,0,0,390,390,0,,,,,
342.0978261,513.1467391,513.1467391,0,0,0,0,390,390,0,,,,,
342.5217391,513.7826087,513.7826087,0,0,0,0,390,390,0,,,,,
333.1956522,499.7934783,499.7934783,0,0,0,0,390,390,0,,,,,
324.2934783,486.4402174,486.4402174,0,0,0,0,390,390,0,,,,,
311.1521739,466.7282609,466.7282609,0,0,0,0,390,390,0,,,,,
315.8152174,473.7228261,473.7228261,0,0,0,0,390,390,0,,,,,
296.3152174,444.4728261,444.4728261,0,0,0,0,390,390,0,,,,,
308.6086957,462.9130435,462.9130435,0,0,0,0,390,390,0,,,,,
300.1304348,450.1956522,450.1956522,0,0,0,0,390,390,0,,,,,
311.576087,467.3641304,467.3641304,0,0,0,0,390,390,0,,,,,
340.826087,511.2391304,511.2391304,0,0,0,0,390,390,0,,,,,
341.25,511.875,511.875,0,0,0,0,390,390,0,,,,,
343.3695652,515.0543478,515.0543478,0,0,0,0,390,390,0,,,,,
336.5869565,504.8804348,504.8804348,0,0,0,0,390,390,0,,,,,
340.826087,511.2391304,511.2391304,0,0,0,0,390,390,0,,,,,
331.5,497.25,497.25,0,0,0,0,390,390,0,,,,,
