"hour.horizon","mean","sd"
"1",0.0,5.74167977427234
"2",0.0,5.67932164653193
"3",0.0,5.86914340660479
"4",0.0,5.8359809716885
"5",0.0,5.84037490951017
"6",0.0,5.6008506189286
"7",0.0,5.57991859918163
"8",0.0,5.61219421982138
"9",0.0,5.62608945664184
"10",0.0,5.61437873504167
"11",0.0,5.61299531476709
"12",0.0,5.60220857404311
"13",0.0,5.61744462240513
"14",0.0,5.62650775296103
"15",0.0,5.6450185737851
"16",0.0,5.64806366757672
"17",0.0,5.57885105696509
"18",0.0,5.58303682656813
"19",0.0,5.58354451709997
"20",0.0,5.59302556052785
"21",0.0,5.60740637161966
"22",0.0,5.60753488731257
"23",0.0,5.61225669886298
"24",0.0,5.62414888976808
"25",0.0,5.62620109026496
"26",0.0,5.6257274887753
"27",0.0,5.64952711780368
"28",0.0,5.60946581805634
"29",0.0,5.66651954489143
"30",0.0,5.69166894608218
"31",0.0,5.70326137887783
"32",0.0,5.72471371331057
"33",0.0,5.71591147181164
"34",0.0,5.7220289473357
"35",0.0,5.73315619094223
"36",0.0,5.74801028085939
