startprofiel,startprofiel+extra,LF  startprofiel+extra,aangepast profiel,LF aangepast profiel ,regelpunt,kwartieren boven limiet,verlies aan energie,390 of 360A,profiel 360/390A afhankelijk van LF,verlies aan energie2,,startprofiel2,startprofiel2+extra,aangepast profiel2,profiel2 360/390A
335.3152174,502.9728261,0,502.9728261,0,0,0,0,390,390,762.2276576,0,24240.60479,36360.90719,34274.64761,33537.63022
319.2913043,478.9369565,0,478.9369565,0,0,0,0,390,390,600.0576457,0,,verloren energie met DLR,2086.259576,
324.6326087,486.948913,0,486.948913,0,0,0,0,390,390,654.1143163,0,,verloren energie met 360/390,2823.276965,
305.0478261,457.5717391,0,457.5717391,0,0,0,0,390,390,455.9065239,0,,delta ,737.0173894,
297.926087,446.8891304,0,446.8891304,0,0,0,0,390,390,383.830963,0,,,,
310.3891304,465.5836957,0,465.5836957,0,0,0,0,390,390,509.9631946,0,,,,
300.3,450.45,0,450.45,0,0,0,0,390,390,407.85615,0,,,,
315.1369565,472.7054348,0,472.7054348,0,0,0,0,390,390,558.0135685,0,,,,
326.4130435,489.6195652,0,489.6195652,0,0,0,0,390,390,672.1332065,0,,,,
318.6978261,478.0467391,0,478.0467391,0,0,0,0,390,390,594.0513489,0,,,,
315.1369565,472.7054348,0,472.7054348,0,0,0,0,390,390,558.0135685,0,,,,
305.6413043,458.4619565,0,458.4619565,0,0,0,0,390,390,461.9128207,0,,,,
309.2021739,463.8032609,0,463.8032609,0,0,0,0,390,390,497.9506011,0,,,,
297.3326087,445.998913,0,445.998913,0,0,0,0,390,390,377.8246663,0,,,,
302.0804348,453.1206522,0,453.1206522,0,0,0,0,390,390,425.8750402,0,,,,
275.373913,413.0608696,0,413.0608696,0,0,0,0,390,390,155.591687,0,,,,
278.9347826,418.4021739,0,418.4021739,0,0,0,0,390,390,191.6294674,0,,,,
275.9673913,413.951087,0,413.951087,0,0,0,0,390,390,161.5979837,0,,,,
282.4956522,423.7434783,0,423.7434783,0,0,0,0,390,390,227.6672478,0,,,,
252.2282609,378.3423913,0,378.3423913,0,0,0,0,390,378.3423913,0,0,,,,
273.5934783,410.3902174,0,410.3902174,0,0,0,0,390,390,137.5727967,0,,,,
243.326087,364.9891304,0,364.9891304,0,0,0,0,390,364.9891304,0,0,,,,
260.5369565,390.8054348,0,390.8054348,0,0,0,0,390,390,5.434268478,0,,,,
243.326087,364.9891304,0,364.9891304,0,0,0,0,390,364.9891304,0,0,,,,
267.6586957,401.4880435,0,401.4880435,0,0,0,0,390,390,77.50982935,0,,,,
252.8217391,379.2326087,0,379.2326087,0,0,0,0,390,379.2326087,0,0,,,,
201.7826087,302.673913,0,302.673913,0,0,0,0,390,302.673913,0,0,,,,
214.2456522,321.3684783,0,321.3684783,0,0,0,0,390,321.3684783,0,0,,,,
137.6869565,206.5304348,0,206.5304348,0,0,0,0,390,206.5304348,0,0,,,,
147.776087,221.6641304,0,221.6641304,0,0,0,0,390,221.6641304,0,0,,,,
163.8,245.7,0,245.7,0,0,0,0,390,245.7,0,0,,,,
204.75,307.125,0,307.125,0,0,0,0,390,307.125,0,0,,,,
148.9630435,223.4445652,0,223.4445652,0,0,0,0,390,223.4445652,0,0,,,,
154.8978261,232.3467391,0,232.3467391,0,0,0,0,390,232.3467391,0,0,,,,
153.7108696,230.5663043,0,230.5663043,0,0,0,0,390,230.5663043,0,0,,,,
129.9717391,194.9576087,0,194.9576087,0,0,0,0,390,194.9576087,0,0,,,,
143.6217391,215.4326087,0,215.4326087,0,0,0,0,390,215.4326087,0,0,,,,
179.2304348,268.8456522,0,268.8456522,0,0,0,0,390,268.8456522,0,0,,,,
92.5826087,138.873913,0,138.873913,0,0,0,0,390,138.873913,0,0,,,,
140.6543478,210.9815217,0,210.9815217,0,0,0,0,390,210.9815217,0,0,,,,
250.4478261,375.6717391,0,375.6717391,0,0,0,0,390,375.6717391,0,0,,,,
160.2391304,240.3586957,0,240.3586957,0,0,0,0,390,240.3586957,0,0,,,,
103.2652174,154.8978261,0,154.8978261,0,0,0,0,390,154.8978261,0,0,,,,
