"hour.horizon","mean","sd"
"1",0.0117,031187
"2",0.0117,031187
"3",0.0117,031187
"4",0.0117,031187
"5",0.0117,031187
"6",0.0117,031187
"7",0.0117,031187
"8",0.0117,031187
"9",0.0117,031187
"10",0.0117,031187
"11",0.0117,031187
"12",0.0117,031187
"13",0.0117,031187
"14",0.0117,031187
"15",0.0117,031187
"16",0.0117,031187
"17",0.0117,031187
"18",0.0117,031187
"19",0.0117,031187
"20",0.0117,031187
"21",0.0117,031187
"22",0.0117,031187
"23",0.0117,031187
"24",0.0117,031187
"25",0.0117,031187
"26",0.0117,031187
"27",0.0117,031187
"28",0.0117,031187
"29",0.0117,031187
"30",0.0117,031187
"31",0.0117,031187
"32",0.0117,031187
"33",0.0117,031187
"34",0.0117,031187
"35",0.0117,031187
"36",0.0117,031187
