"hour.horizon","mean","sd"
"1",0.0117,0.1187
"2",0.0117,0.1187
"3",0.0117,0.1187
"4",0.0117,0.1187
"5",0.0117,0.1187
"6",0.0117,0.1187
"7",0.0117,0.1187
"8",0.0117,0.1187
"9",0.0117,0.1187
"10",0.0117,0.1187
"11",0.0117,0.1187
"12",0.0117,0.1187
"13",0.0117,0.1187
"14",0.0117,0.1187
"15",0.0117,0.1187
"16",0.0117,0.1187
"17",0.0117,0.1187
"18",0.0117,0.1187
"19",0.0117,0.1187
"20",0.0117,0.1187
"21",0.0117,0.1187
"22",0.0117,0.1187
"23",0.0117,0.1187
"24",0.0117,0.1187
"25",0.0117,0.1187
"26",0.0117,0.1187
"27",0.0117,0.1187
"28",0.0117,0.1187
"29",0.0117,0.1187
"30",0.0117,0.1187
"31",0.0117,0.1187
"32",0.0117,0.1187
"33",0.0117,0.1187
"34",0.0117,0.1187
"35",0.0117,0.1187
"36",0.0117,0.1187
