Wind,PowerAtWind,PowerCoefficient,RatedPower,BladeLength,CutIn,CutOut,HubHeight
1,0,0,3050,50.5,2,25,99
2,3,0.076,,,,,
3,37,0.279,,,,,
4,118,0.376,,,,,
5,258,0.421,,,,,
6,479,0.452,,,,,
7,790,0.469,,,,,
8,1200,0.478,,,,,
9,1710,0.478,,,,,
10,2340,0.477,,,,,
11,2867,0.439,,,,,
12,3034,0.358,,,,,
13,3050,0.283,,,,,
14,3050,0.227,,,,,
15,3050,0.184,,,,,
16,3050,0.152,,,,,
17,3050,0.127,,,,,
18,3050,0.107,,,,,
19,3050,0.091,,,,,
20,3050,0.078,,,,,
21,3050,0.067,,,,,
22,3050,0.058,,,,,
23,3050,0.051,,,,,
24,3050,0.045,,,,,
25,3050,0.04,,,,,
