"hour.horizon","mean","sd"
"1",0.0,2.04
"2",0.0,2.04
"3",0.0,2.04
"4",0.0,2.04
"5",0.0,2.04
"6",0.0,2.04
"7",0.0,2.04
"8",0.0,2.04
"9",0.0,2.04
"10",0.0,2.04
"11",0.0,2.04
"12",0.0,2.04
"13",0.0,2.04
"14",0.0,2.04
"15",0.0,2.04
"16",0.0,2.04
"17",0.0,2.04
"18",0.0,2.04
"19",0.0,2.04
"20",0.0,2.04
"21",0.0,2.04
"22",0.0,2.04
"23",0.0,2.04
"24",0.0,2.04
"25",0.0,2.04
"26",0.0,2.04
"27",0.0,2.04
"28",0.0,2.04
"29",0.0,2.04
"30",0.0,2.04
"31",0.0,2.04
"32",0.0,2.04
"33",0.0,2.04
"34",0.0,2.04
"35",0.0,2.04
"36",0.0,2.04
